U matrix:
0.33858 0.26700 0.29813 
0.65183 0.72350 0.91238 
0.64761 0.71413 0.79625 
0.01713 0.14159 0.25930 
0.38114 0.52937 0.35896 
0.63209 0.63355 0.44197 
0.18853 0.27236 0.20751 
0.93971 0.92672 0.75935 
0.82561 0.75813 0.83965 
0.52144 0.29804 0.42637 
0.85249 0.73002 0.74147 
0.75697 0.83654 0.75363 
0.40654 0.48352 0.29619 
0.94788 0.98110 0.79368 
0.82858 0.79410 0.99477 
0.58233 0.87777 0.75920 
0.32383 0.09423 0.12215 
0.92637 0.99448 0.77401 
0.32227 0.18680 0.40524 
0.86207 0.74814 1.07434 
0.62914 0.59329 0.57202 
0.65098 0.61269 0.66383 
0.26303 0.48183 0.37875 
0.56513 0.73079 0.63718 
0.67824 0.75264 0.60507 
0.73769 0.74037 0.92623 
0.17430 0.38842 0.17314 
0.77567 0.70663 0.99931 
0.90978 1.04317 0.99700 
0.26252 0.11805 0.17331 
0.45172 0.60152 0.51162 
0.82556 0.86858 0.81418 
0.42712 0.55081 0.27784 
0.98431 1.14964 0.98252 
0.14012 0.32180 0.20975 
0.77919 0.94923 0.93412 
0.69736 0.58935 0.61743 
0.93994 0.89198 0.98632 
0.82540 0.72502 0.72452 
0.34122 0.28915 0.45041 
0.69828 0.99503 0.66347 
0.74063 0.85684 0.73080 
0.17592 0.36522 0.40884 
0.07836 0.31176 0.37446 
0.41462 0.58548 0.51603 
0.36327 0.32894 0.41761 
0.35482 0.48656 0.60211 
0.37123 0.49972 0.58175 
1.03611 1.14372 0.93097 
0.76451 0.77006 0.80986 
0.77487 0.75065 0.87859 
0.91878 0.85568 1.01505 
0.32904 0.42864 0.49086 
1.47766 1.26758 1.39509 
0.77384 0.85266 1.07670 
1.11614 0.86797 1.05402 
1.04463 0.77636 0.94496 
0.25432 0.42740 0.29879 
0.15232 0.40766 0.43325 
0.31272 0.55816 0.48433 
0.69532 0.65075 0.65643 
0.42060 0.36823 0.53653 
0.23593 0.30534 0.49487 
1.06454 1.06243 0.87170 
0.85020 0.80546 0.64023 
0.99167 0.94450 0.93402 
0.44116 0.38658 0.51934 
0.61536 0.90802 0.84787 
0.75543 0.72715 0.54800 
0.97371 0.91431 0.88851 
1.06680 1.03388 0.89575 
0.61874 0.57045 0.66536 
0.41364 0.17599 0.25495 
0.95558 0.67819 0.71690 
0.75385 1.04319 0.92227 
0.22088 0.25273 0.34301 
0.76028 0.61220 0.67948 
0.95777 0.67669 0.66058 
1.10900 0.93261 1.11249 
0.59348 0.57425 0.53400 
0.26367 0.47939 0.26362 
0.22112 0.35666 0.25755 
0.71565 0.57122 0.52997 
0.91925 1.00402 0.83763 
0.97518 0.94392 0.95237 
0.82834 0.97663 0.97615 
0.85923 0.83778 0.63275 
0.56856 0.85304 0.64586 
0.73715 0.77537 0.92643 
0.45785 0.54966 0.30496 
0.37670 0.25142 0.41146 
0.88310 0.89729 0.82437 
0.71320 0.90723 0.90447 
